,release_date,required_age,price,dlc_count,mac,linux,metacritic_score,achievements,recommendations,supported_languages,full_audio_languages,categories,genres,positive,negative,estimated_owners,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,peak_ccu,tags
1025440,2019-09-05,0.0,13.99,4.0,0,0,80.0,77.0,994.0,"['English', 'German', 'Spanish - Spain', 'Simplified Chinese', 'French', 'Russian']",[],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Includes level editor', 'Family Sharing']",['Strategy'],1025.0,210.0,100000 - 200000,489.0,0.0,52.0,0.0,13.0,"{'Strategy': 120, 'Turn-Based Strategy': 86, 'Fantasy': 76, 'Turn-Based': 70, 'Turn-Based Tactics': 70, 'Turn-Based Combat': 69, 'Tactical': 68, 'Singleplayer': 67, 'Wargame': 62, 'Hex Grid': 57, 'Grand Strategy': 52, 'Dark Fantasy': 50, '4X': 49, 'Multiplayer': 46, 'War': 46, 'Military': 44, 'Replay Value': 44, 'Resource Management': 44, 'Great Soundtrack': 43, 'Management': 41}"
416790,2016-09-29,0.0,4.99,8.0,1,0,79.0,32.0,277.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Japanese']",[],"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Custom Volume Controls', 'Adjustable Difficulty', 'Keyboard Only Option', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play Together', 'Family Sharing']","['Action', 'Indie', 'RPG']",330.0,65.0,20000 - 50000,183.0,0.0,237.0,0.0,1.0,"{'Rhythm': 148, 'Music': 141, 'Indie': 137, 'Soundtrack': 134, 'Singleplayer': 132, 'RPG': 126, 'Action': 123, 'Party-Based RPG': 121, 'Fast-Paced': 113, 'Fantasy': 112, 'Experimental': 108, 'Comedy': 106, 'Funny': 105, '2D': 98, 'Co-op': 96, 'Local Multiplayer': 93, 'Side Scroller': 90, 'Colorful': 88, 'Multiplayer': 88, 'Adventure': 84}"
672230,2017-12-20,0.0,0.79,1.0,0,0,62.0,46.0,0.0,['English'],['English'],"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Family Sharing']","['Adventure', 'Indie']",54.0,22.0,0 - 20000,0.0,0.0,0.0,0.0,0.0,"{'Adventure': 38, 'Indie': 35, 'Gore': 23, 'Violent': 22, 'Choices Matter': 19, 'Pixel Graphics': 12, 'Point & Click': 7, 'Singleplayer': 6}"
1110050,2020-06-11,0.0,1.3900000000000001,1.0,1,0,75.0,17.0,977.0,"['English', 'French', 'Italian', 'German', 'Japanese', 'Portuguese - Brazil', 'Spanish - Latin America', 'Russian', 'Simplified Chinese']",[],"['Single-player', 'Steam Achievements', 'Full controller support', 'Camera Comfort', 'Playable without Timed Input', 'Family Sharing']","['Adventure', 'Casual', 'Indie']",1637.0,230.0,200000 - 500000,205.0,0.0,250.0,0.0,2.0,"{'Casual': 212, 'Puzzle-Platformer': 211, 'Visual Novel': 193, 'Female Protagonist': 192, 'Platformer': 190, '2D': 180, 'Pixel Graphics': 180, 'Story Rich': 175, 'Cute': 171, 'Puzzle': 170, 'Colorful': 155, 'Anime': 154, 'Mystery': 147, 'Thriller': 144, 'Logic': 142, 'Atmospheric': 141, 'Adventure': 122, 'Singleplayer': 106, 'Indie': 106, 'Great Soundtrack': 53}"
715560,2019-02-13,0.0,9.99,1.0,0,0,78.0,18.0,4928.0,"['English', 'French', 'German', 'Russian', 'Simplified Chinese']","['English', 'Simplified Chinese']","['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Family Sharing']","['Adventure', 'Indie']",4608.0,549.0,100000 - 200000,320.0,0.0,151.0,0.0,3.0,"{'Exploration': 221, 'Relaxing': 209, 'Open World': 206, 'Beautiful': 196, 'Atmospheric': 185, 'Adventure': 137, 'Walking Simulator': 136, 'Singleplayer': 105, 'First-Person': 103, 'Nature': 85, 'Indie': 85, 'Colorful': 82, 'Casual': 75, 'RPG': 52, 'Interactive Fiction': 51, 'Story Rich': 41, 'Fantasy': 39, 'Great Soundtrack': 29, 'Crafting': 13, 'Survival': 5}"
849178,2018-09-14,17.0,4.0,0.0,1,1,77.0,99.0,66723.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Arabic']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Action', 'Adventure']",13036.0,4825.0,0 - 20000,0.0,0.0,0.0,0.0,0.0,"{'Adventure': 442, 'Lara Croft': 377, 'Action': 336, 'Female Protagonist': 309, 'Third Person': 256, 'Singleplayer': 252, 'Story Rich': 238, 'Puzzle': 234, 'Open World': 234, 'Action-Adventure': 206, 'Stealth': 199, 'Exploration': 174, 'Survival': 164, 'Violent': 141, 'Atmospheric': 116, 'Shooter': 102, 'Gore': 90, 'Great Soundtrack': 68, 'Dark': 64, 'Heist': 44}"
914710,2019-09-24,0.0,3.74,0.0,1,0,76.0,9.0,5517.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Dutch', 'Korean', 'Thai', 'Traditional Chinese', 'Turkish', 'Spanish - Latin America']",[],"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Action', 'Adventure', 'Indie', 'RPG']",6092.0,273.0,200000 - 500000,263.0,0.0,159.0,0.0,44.0,"{'Adventure': 388, 'Exploration': 332, 'Action RPG': 323, 'Hack and Slash': 306, 'RPG': 301, 'Character Customization': 300, 'Local Co-Op': 294, 'Action': 286, 'Cute': 282, 'Cats': 280, 'Co-op': 278, '2D': 276, 'Open World': 274, 'Funny': 267, 'Cartoony': 260, 'Dog': 257, 'Loot': 256, 'Fantasy': 251, 'Magic': 249, 'Cozy': 245}"
259190,2013-10-29,17.0,1.74,0.0,0,0,66.0,0.0,527.0,['English'],['English'],"['Single-player', 'Family Sharing']","['Action', 'Adventure']",437.0,185.0,20000 - 50000,127.0,0.0,184.0,0.0,1.0,"{'Adventure': 44, 'Horror': 39, 'Action': 35, 'Survival Horror': 25, 'Classic': 14, 'Puzzle': 9, 'Female Protagonist': 5, 'Lovecraftian': 5}"
31800,2009-10-10,0.0,6.49,0.0,0,0,70.0,0.0,159.0,['English'],[],"['Single-player', 'Family Sharing']",['Adventure'],129.0,27.0,20000 - 50000,391.0,0.0,397.0,0.0,6.0,"{'Adventure': 38, 'Point & Click': 25, 'Puzzle': 21, 'Detective': 19, 'Story Rich': 17, 'Classic': 16, 'Great Soundtrack': 16, 'Female Protagonist': 16, 'Mouse only': 15, 'Funny': 14, 'Exploration': 11, 'Atmospheric': 11, 'Casual': 9, 'Hidden Object': 9, '2.5D': 5, 'Family Friendly': 5, '2D': 5, 'Remake': 5, 'Mystery': 5, 'Based On A Novel': 5}"
1272080,2023-09-21,17.0,14.99,22.0,0,0,66.0,22.0,46702.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","['English', 'Turkish']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Action', 'Adventure', 'RPG']",25497.0,33195.0,2000000 - 5000000,1421.0,172.0,721.0,194.0,644.0,"{'Heist': 540, 'Co-op': 495, 'Crime': 469, 'Action': 468, 'Multiplayer': 464, 'FPS': 462, 'Shooter': 426, 'Stealth': 390, 'Tactical': 385, 'America': 366, 'Online Co-Op': 361, 'Dark Humor': 334, 'First-Person': 321, 'PvE': 309, 'Gun Customization': 300, 'RPG': 296, 'Combat': 295, '3D': 279, 'Realistic': 276, ""Shoot 'Em Up"": 268}"
